book,spread,dates,location,country,confidence,activity
BB_1919_Jul-Dec,30,October 26 – October 29 1919,Settignano (Florence),Italy,high,"At I Tatti; reading (Colette, Venturi's Storia dell'Arte); Miss Paterson."
BB_1919_Jul-Dec,31,October 30 – November 2 1919,Settignano (Florence),Italy,high,"At I Tatti; reading Bedier; Leoni, Cecil, Kelekian."
BB_1919_Jul-Dec,32,November 3 – November 6 1919,Settignano (Florence),Italy,medium,At I Tatti; Bussys back; Anrep; Adams (Mont St Michel & Chartres); tea with Loras.
BB_1919_Jul-Dec,33,November 7 – November 10 1919,Settignano (Florence),Italy,medium,At I Tatti; reading Adams; Daddi study; L. Venturi.
BB_1919_Jul-Dec,34,November 11 – November 14 1919,Settignano (Florence),Italy,medium,"At I Tatti; Fernande, Giglioli, Geoffrey, Gravina."
BB_1919_Jul-Dec,35,November 15 – November 18 1919,Settignano (Florence),Italy,medium,"At I Tatti; Lady Annabel O'Neil, Mlle Lavalle; reading on religious art."
BB_1919_Jul-Dec,36,November 19 – November 22 1919,Settignano (Florence),Italy,medium,"At I Tatti; study notes on Sienese painters (Barna, the Lorenzetti); Villa Medici; reading/connoisseurship at home, flanked by clearly at-home spreads (Lady Annabel O'Neil, de Nicola, Serristori)."
BB_1919_Jul-Dec,37,November 23 – November 26 1919,Settignano (Florence),Italy,medium,"At I Tatti; de Nicola, Serristori; Alys Cox arrives; Salvemini."
BB_1919_Jul-Dec,38,November 27 – November 30 1919,Settignano (Florence),Italy,high,"At I Tatti; Carlo Placci, Mrs Ross, Cecil; reading Male; Lady Annabel O'Neil."
BB_1919_Jul-Dec,39,December 1 – December 4 1919,Settignano (Florence),Italy,medium,At I Tatti; Cox leaves; walks; reading.
BB_1919_Jul-Dec,40,December 5 – December 8 1919,Settignano (Florence),Italy,medium,"At I Tatti; Mme Viegi, Sybil drive & tea; Lady Annabel O'Neil; reading; Hohenlohe."
BB_1919_Jul-Dec,41,December 9 – December 12 1919,Settignano (Florence),Italy,high,"At I Tatti; Brewster, tea with Strong; Loesers, Placci, Gravina, tea with Acton."
BB_1919_Jul-Dec,42,December 13 – December 16 1919,Settignano (Florence),Italy,medium,"At I Tatti; reading Bedier; Lady Annabel O'Neil; 'To London' (likely a book/note not a trip); Tosca; Santayana, Mrs Ross."
BB_1919_Jul-Dec,43,December 17 – December 20 1919,Settignano (Florence),Italy,medium,"At I Tatti; reading (Schlumberger, Tres Riches Heures, Reims); Cecil & Geoffrey; Thornley Gibson arrives."
BB_1919_Jul-Dec,44,December 21 – December 24 1919,Settignano (Florence),Italy,medium,"At I Tatti; Hohenlohe musical; reading on Crusades; Scotto, van Marle, Aunt Janet; Gibsons leave Dec 24."
BB_1919_Jul-Dec,45,December 25 – December 28 1919,Settignano (Florence),Italy,high,"At I Tatti, ill in bed with fever & cold over Christmas; Salvemini."
BB_1919_Jul-Dec,46,December 29 – January 1 1919,Settignano (Florence),Italy,high,"At I Tatti, recovering; Davidsohn, W. Ross, Baron Stiebel; year ends."
